date,cases_cumul,cases_hosp,cases_icu,deaths_cumul,cases_hcp,clusters_cumul,cases_female,cases_male,cases_gender_unknown,cases_below_1,cases_1_4,cases_under_5,cases_5_14,cases_15_24,cases_25_34,cases_35_44,cases_45_54,cases_55_64,cases_65_plus,cases_65_74,cases_75_84,cases_85_plus,cases_age_unknown,percent_comm_trns,percent_contact,percent_travel,cases_hcp_travel,cases_hcp_no_travel,cases_hcp_tbc,hosp_under_5,hosp_5_14,hosp_15_24,hosp_25_34,hosp_35_44,hosp_45_54,hosp_55_64,hosp_65_plus,hosp_65_74,hosp_75_84,hosp_85_plus,hosp_age_unknown,cases_carlow,cases_cavan,cases_clare,cases_cork,cases_donegal,cases_dublin,cases_galway,cases_kerry,cases_kildare,cases_kilkenny,cases_laois,cases_leitrim,cases_limerick,cases_longford,cases_louth,cases_mayo,cases_meath,cases_monaghan,cases_offaly,cases_roscommon,cases_sligo,cases_tipperary,cases_waterford,cases_westmeath,cases_wexford,cases_wicklow
30-Apr,20742,2785,368,1050,5973,676,11979,8695,68,35,66,101,206,1383,3314,3532,3803,2736,5642,NA,NA,NA,25,0.63,0.34,0.03,NA,NA,NA,16,8,56,173,232,373,415,1509,NA,NA,NA,3,100,656,237,1156,459,10277,357,294,1226,254,230,68,564,150,667,488,687,403,293,160,118,473,138,500,183,604
01-May,21064,2825,363,1074,6068,694,12166,8841,57,38,69,107,215,1417,3373,3588,3858,2772,5711,NA,NA,NA,23,0.63,0.34,0.03,NA,NA,NA,18,11,58,174,235,381,422,1524,NA,NA,NA,2,126,673,240,1164,461,10406,365,295,1242,258,234,67,580,153,673,494,699,409,305,174,117,478,139,509,185,618
02-May,21437,2840,364,1088,6211,703,12334,9045,58,39,70,109,223,1460,3463,3667,3918,2816,5758,NA,NA,NA,23,0.63,0.34,0.03,NA,NA,NA,18,12,58,176,236,383,423,1532,NA,NA,NA,2,127,682,245,1175,465,10561,365,298,1268,259,237,70,583,213,679,501,713,423,314,174,119,479,140,540,185,622
03-May,21659,2879,369,1099,6293,706,12446,9151,62,39,72,111,230,1475,3496,3714,3956,2843,5810,NA,NA,NA,24,0.62,0.35,0.03,NA,NA,NA,18,13,59,179,240,389,424,1555,NA,NA,NA,2,127,694,249,1177,466,10670,369,301,1280,258,238,70,585,235,685,510,717,429,317,181,120,486,139,547,184,625
04-May,21908,2878,373,1128,6393,710,12562,9283,63,39,75,114,230,1495,3556,3766,3996,2866,5855,NA,NA,NA,24,0.62,0.35,0.03,NA,NA,NA,18,14,61,175,238,389,421,1560,NA,NA,NA,2,132,709,254,1192,467,10734,375,302,1289,259,240,70,591,257,693,512,722,432,339,212,121,501,139,554,184,628
05-May,22186,2891,363,1152,6498,733,12696,9428,62,40,77,117,241,1532,3618,3830,4039,2899,5885,NA,NA,NA,25,0.62,0.35,0.03,NA,NA,NA,18,15,63,175,238,392,425,1563,NA,NA,NA,2,132,710,281,1197,469,10840,380,302,1302,265,243,70,574,259,699,514,723,441,346,221,122,506,140,627,190,633
06-May,22301,2915,373,1177,6586,737,12765,9472,64,40,77,117,243,1545,3635,3851,4065,2913,5907,NA,NA,NA,25,0.61,0.36,0.03,NA,NA,NA,18,17,63,175,235,393,429,1583,NA,NA,NA,2,133,730,299,1199,469,10885,381,303,1312,265,242,66,566,260,703,518,727,443,345,228,116,512,140,633,190,636
07-May,22495,2954,381,1195,6669,746,12879,9552,64,40,77,117,245,1567,3673,3891,4087,2939,5950,1645,2116,2189,26,0.61,0.36,0.03,NA,NA,NA,18,17,63,177,236,399,437,1605,517,670,418,2,136,748,303,1205,469,10948,382,303,1317,271,247,66,570,264,715,522,754,447,349,234,116,515,143,640,194,637
08-May,22671,2986,383,1203,6771,750,12980,9627,64,40,79,119,252,1582,3707,3919,4111,2958,5997,1661,2136,2200,26,0.61,0.36,0.03,NA,NA,NA,18,17,65,179,240,404,436,1625,524,676,425,2,139,752,303,1207,469,11068,388,303,1324,277,247,66,572,264,721,522,758,447,350,235,116,517,143,641,199,643
09-May,22894,2998,383,1217,6834,755,13129,9698,67,42,79,121,258,1604,3745,3964,4148,2987,6041,1671,2147,2223,26,0.61,0.36,0.03,NA,NA,NA,18,17,65,178,239,405,436,1638,525,683,430,2,141,753,305,1232,472,11175,392,303,1331,280,248,74,582,267,730,522,760,449,351,247,123,523,143,643,202,646
10-May,23089,3031,386,1237,6906,759,13249,9776,64,42,79,121,260,1624,3777,3994,4172,3014,6101,1685,2164,2252,26,0.61,0.36,0.03,NA,NA,NA,18,17,66,179,238,408,439,1664,535,691,438,2,141,757,306,1234,474,11235,400,305,1337,284,249,74,588,269,733,537,769,454,358,297,127,524,143,643,202,649
11-May,23144,3050,389,1246,6997,766,13282,9802,60,NA,NA,122,263,1631,3792,4004,4186,3014,6107,1691,2165,2251,25,0.6,0.37,0.03,NA,NA,NA,18,17,68,181,239,407,439,1679,539,696,444,2,143,765,308,1238,472,11242,402,305,1344,291,249,75,588,270,735,538,769,458,360,298,128,524,144,645,206,647
12-May,23259,3053,387,1255,7123,766,13338,9853,68,43,82,125,266,1641,3822,4024,4203,3029,6124,1696,2175,2253,25,0.6,0.37,0.03,NA,NA,NA,18,17,68,182,240,409,442,1675,539,696,440,2,143,767,308,1249,473,11308,405,305,1348,292,249,77,591,272,734,541,770,464,362,298,128,524,144,648,208,651
13-May,23627,3062,387,1264,7427,781,13559,10019,49,43,85,128,266,1688,3936,4105,4276,3066,6138,1703,2181,2254,24,0.61,0.37,0.02,NA,NA,NA,18,17,68,184,242,409,442,1680,539,698,443,2,144,774,312,1256,473,11557,408,306,1352,293,251,77,595,273,740,542,773,467,435,299,128,516,144,652,208,652
14-May,23879,3094,389,1277,7530,784,13681,10049,49,43,85,128,267,1705,3995,4181,4316,3096,6167,1714,2188,2265,24,0.6,0.37,0.03,NA,NA,NA,18,17,68,186,247,415,449,1692,545,700,447,2,144,776,314,1346,474,11657,412,307,1357,295,251,79,596,273,741,542,776,468,455,300,129,521,144,654,211,657
15-May,23953,3117,389,1288,7566,800,13709,10195,49,43,87,130,270,1714,4105,4201,4329,3099,6171,1716,2193,2262,24,0.6,0.37,0.03,NA,NA,NA,19,17,70,187,247,420,453,1702,546,705,451,2,146,781,314,1352,475,11666,418,307,1361,298,253,79,601,277,739,547,778,480,459,301,129,523,146,655,212,656
16-May,24036,3127,391,1293,7615,805,13768,10229,39,44,88,132,270,1721,4043,4217,4339,3103,6187,1721,2196,2270,24,0.6,0.37,0.03,NA,NA,NA,19,17,70,187,247,421,457,1707,549,707,451,2,147,788,315,1361,475,11693,432,307,1367,300,253,79,602,279,740,552,780,480,459,304,129,524,147,654,212,657
17-May,24176,3143,390,1308,7661,806,13841,10296,39,44,90,134,275,1744,4066,4249,4357,3119,6208,1727,2205,2276,24,0.6,0.37,0.03,NA,NA,NA,19,17,70,188,248,422,463,1714,553,708,453,2,148,800,315,1372,477,11759,438,308,1379,302,254,80,603,279,743,556,782,485,461,307,129,525,147,656,212,659
18-May,24204,3164,393,1312,7708,810,13859,10307,38,44,91,135,277,1750,4069,4260,4361,3122,6206,1727,2201,2278,24,0.6,0.38,0.02,NA,NA,NA,19,17,70,188,247,425,470,1725,555,711,459,2,149,802,315,1376,477,11733,445,308,1379,307,254,82,610,279,745,558,787,485,468,308,129,528,148,656,217,657
19-May,24274,3183,392,1322,7747,814,13899,10337,38,44,93,137,278,1760,4083,4272,4371,3127,6222,1731,2207,2284,24,0.6,0.37,0.03,NA,NA,NA,19,17,70,189,247,428,473,1737,557,716,464,3,150,804,315,1386,479,11765,445,308,1381,307,256,82,612,280,748,560,788,488,472,310,129,529,148,658,217,657
20-May,24351,3194,393,1330,7791,823,13936,10375,40,44,93,137,281,1763,4093,4288,4380,3139,6246,1743,2215,2288,24,0.6,0.37,0.03,NA,NA,NA,19,17,70,190,247,429,474,1745,560,719,466,3,151,804,319,1398,478,11794,451,308,1383,316,256,82,615,280,751,560,790,489,473,312,129,529,148,661,217,657
21-May,24451,3211,393,1341,7813,829,13996,10418,37,44,97,141,288,1769,4112,4306,4401,3145,6265,1749,2219,2297,24,0.6,0.38,0.02,NA,NA,NA,19,17,70,191,247,429,476,1759,561,723,475,3,151,815,319,1420,478,11830,455,308,1387,319,256,82,615,280,756,564,795,489,475,314,129,528,149,661,217,659
22-May,24569,3222,394,1343,7819,844,14064,10468,37,44,101,145,291,1792,4135,4326,4415,3158,6283,1753,2224,2306,24,0.59,0.38,0.03,NA,NA,NA,19,17,71,193,248,430,478,1763,563,726,474,3,152,824,321,1428,478,11873,458,308,1392,334,256,82,616,280,756,568,797,501,478,318,129,528,151,663,217,661
23-May,24593,3225,394,1345,7842,846,14070,10484,39,45,101,146,292,1797,4138,4335,4418,3158,6284,1753,2228,2303,25,0.59,0.38,0.03,NA,NA,NA,19,17,71,193,249,430,477,1766,564,729,473,3,152,825,322,1438,478,11876,461,308,1390,334,256,82,619,281,759,568,797,501,478,319,129,528,151,663,217,661
24-May,24629,3233,395,1354,7852,846,14081,10510,38,45,102,147,294,1802,4139,4337,4428,3163,6294,1757,2230,2307,25,0.59,0.38,0.03,NA,NA,NA,19,17,71,193,249,432,478,1771,566,733,472,3,152,827,322,1440,478,11894,461,308,1395,334,257,82,622,281,759,568,797,503,479,319,129,528,151,663,217,663
25-May,24730,3251,399,1368,7891,846,14145,10548,37,45,103,148,297,1810,4162,4349,4444,3180,6315,1762,2244,2309,25,0.4,0.58,0.02,NA,NA,NA,19,17,71,196,249,433,479,1784,569,741,474,3,152,829,322,1451,478,11961,464,308,1408,336,258,82,624,281,759,568,797,503,479,319,129,528,151,664,216,663
26-May,24795,3267,404,1378,7920,850,14186,10575,34,45,105,150,304,1818,4168,4362,4454,3186,6329,1763,2251,2315,24,0.4,0.58,0.02,NA,NA,NA,19,17,71,196,251,437,481,1792,572,744,476,3,154,833,322,1458,477,11996,473,308,1414,337,258,83,626,281,759,569,793,504,478,320,129,528,151,665,216,663
27-May,24837,3270,404,1382,7943,856,14214,10589,34,45,106,151,305,1822,4176,4369,4463,3190,6337,1767,2252,2318,24,0.4,0.58,0.02,NA,NA,NA,19,17,72,197,252,439,480,1792,570,746,476,3,155,833,322,1464,477,12023,476,308,1416,337,258,83,627,280,759,569,793,504,478,320,129,528,152,667,216,663
28-May,24870,3279,408,1388,7955,861,14235,10601,34,46,107,153,307,1822,4177,4373,4471,3195,6349,1768,2257,2324,23,0.4,0.58,0.02,NA,NA,NA,19,17,72,197,255,439,480,1797,572,748,477,3,158,833,323,1472,477,12031,476,308,1416,337,258,83,628,281,763,571,795,507,478,321,129,527,152,667,216,663
29-May,24924,3283,408,1390,7963,866,14269,10601,34,46,107,153,309,1824,4185,4385,4476,3197,6362,1777,2261,2324,23,0.393,0.583,0.023,NA,NA,NA,19,17,72,198,254,440,481,1799,575,748,476,3,166,834,323,1477,477,12042,478,308,1416,338,259,83,629,283,766,571,797,509,478,333,129,529,152,668,216,663
30-May,24985,3286,408,1390,7968,866,14289,10661,35,46,108,154,310,1830,4197,4399,4488,3204,6380,1780,2263,2337,23,0.3914,0.5838,0.023,NA,NA,NA,19,17,72,198,254,442,481,1800,575,748,477,3,166,839,360,1514,477,12052,480,308,1417,338,259,83,594,283,768,571,796,509,478,333,129,530,153,669,216,663
31-May,25056,3292,408,1394,7986,867,14332,10693,31,47,109,156,318,1841,4205,4407,4502,3213,6391,1785,2262,2344,23,0.3908,0.5836,0.0229,NA,NA,NA,19,17,72,198,254,443,482,1804,577,748,479,3,166,844,368,1517,477,12090,482,308,1419,338,259,83,581,283,776,570,800,512,478,335,129,538,153,670,213,667
01-Jun,25064,3298,409,1399,8004,872,14336,10697,31,47,109,156,318,1842,4207,4407,4503,3213,6395,1788,2264,2343,23,0.39,0.5852,0.0229,NA,NA,NA,19,17,72,197,255,443,484,1808,579,749,480,3,166,844,369,1517,477,12093,482,308,1419,339,260,83,582,283,775,570,801,512,478,336,129,539,152,670,213,667
02-Jun,25104,3311,410,1404,8025,876,14358,10715,31,47,109,156,319,1842,4209,4416,4511,3221,6407,1791,2272,2344,23,0.3895,0.586,0.0228,NA,NA,NA,19,18,73,197,257,443,487,1814,581,751,482,3,169,846,369,1521,477,12109,481,308,1419,339,260,83,582,284,776,570,802,521,479,337,129,540,152,670,213,668
03-Jun,25135,3312,410,1409,8046,880,14370,10734,31,47,109,156,319,1847,4211,4424,4522,3227,6404,1789,2273,2342,23,0.39,0.59,0.02,NA,NA,NA,20,18,73,196,257,443,488,1814,580,753,481,3,169,854,369,1527,472,12118,481,308,1419,340,260,83,582,284,777,570,804,527,479,337,129,540,154,671,213,668
04-Jun,25159,3319,410,1417,8059,885,14384,10743,32,NA,NA,161,321,1850,4216,4425,4524,3228,6411,1792,2273,2346,23,0.39,0.59,0.02,NA,NA,NA,20,18,73,197,257,443,490,1818,580,755,483,3,168,858,368,1528,472,12127,481,308,1423,340,261,84,582,284,777,570,805,528,479,337,128,540,154,671,214,668
05-Jun,25176,3321,409,1420,8057,888,14393,10751,32,NA,NA,161,320,1854,4219,4430,4527,3226,6416,1793,2277,2346,23,0.3881,0.5881,0.0228,NA,NA,NA,20,17,73,197,258,443,490,1820,580,758,482,3,168,858,368,1529,471,12139,481,308,1423,344,262,84,582,285,777,570,806,528,479,337,128,540,154,671,214,670
06-Jun,25198,3322,411,1424,8073,891,14406,10759,33,NA,NA,162,321,1859,4222,4434,4530,3229,6417,1793,2278,2346,24,0.3877,0.5885,0.0228,NA,NA,NA,20,18,72,197,258,444,491,1819,580,757,482,3,168,858,368,1529,471,12158,481,308,1423,345,262,84,583,285,776,570,804,530,479,337,128,540,154,671,216,670
07-Jun,25206,3331,413,1431,8087,892,14408,10766,32,NA,NA,161,321,1859,4224,4437,4533,3229,6419,1795,2278,2346,23,0.3846,0.5917,0.0229,NA,NA,NA,20,18,72,199,260,445,490,1825,581,759,485,2,167,858,368,1529,471,12159,483,308,1424,345,262,84,583,285,778,570,804,531,480,338,128,540,154,671,216,670
08-Jun,25212,3321,411,1433,8099,887,14409,10771,32,NA,NA,161,320,1861,4223,4438,4535,3232,6419,1794,2278,2347,23,0.38,0.6,0.02,NA,NA,NA,20,17,71,198,260,445,489,1819,579,754,486,2,168,858,368,1531,470,12163,483,308,1424,345,262,84,583,285,778,570,804,531,480,338,128,540,154,671,216,670
09-Jun,25230,3307,412,1440,8114,901,14421,10777,32,0,162,162,320,1866,4226,4441,4538,3232,6422,1794,2278,2350,23,0.38,0.6,0.02,NA,NA,NA,20,17,69,198,261,444,490,1806,576,748,482,2,168,858,369,1532,470,12167,485,308,1426,346,262,84,583,285,778,570,804,534,481,340,128,541,154,671,216,670
10-Jun,25237,3275,415,1443,8116,917,14425,10780,32,0,163,163,320,1866,4228,4442,4539,3232,6424,1795,2278,2351,23,0.38,0.6,0.02,NA,NA,NA,20,17,69,199,261,444,490,1773,572,733,468,2,168,859,369,1533,469,12172,485,308,1426,346,262,84,583,285,778,570,805,534,481,341,128,541,154,670,216,670
11-Jun,25249,3276,416,1445,8123,941,14434,10784,31,0,165,165,320,1867,4230,4443,4540,3232,6429,1798,2278,2353,23,0.3733,0.6033,0.0233,NA,NA,NA,20,17,69,199,261,444,490,1774,575,733,466,2,168,860,369,1533,470,12179,485,308,1426,346,264,84,584,285,778,570,805,534,481,341,128,541,154,670,216,670
12-Jun,25295,3279,416,1446,8130,970,14460,10804,31,0,167,167,323,1871,4239,4452,4548,3236,6436,1799,2282,2355,23,0.37,0.6,0.02,NA,NA,NA,20,17,69,200,261,444,491,1775,575,733,467,2,171,860,369,1533,470,12210,486,308,1426,348,264,84,584,285,778,571,805,535,481,342,128,541,154,670,216,670