 ,File Name,Patch_Intensity0,Patch_Intensity1,Patch_Intensity2,Patch_Intensity3,Patch_Intensity4,Patch_Intensity5,Patch_Intensity6,Patch_Intensity7,Patch_Intensity8,Patch_Intensity9,Patch_Intensity10,Patch_Intensity11,Patch_Intensity12,Patch_Intensity13,Patch_Intensity14,Patch_Intensity15,Patch_Intensity16,Patch_Intensity17,Patch_Intensity18,Patch_Intensity19,Patch_Intensity20,Patch_Intensity21,Patch_Intensity22,Patch_Intensity23,Patch_Intensity24,Patch_Intensity25,Patch_Intensity26,Patch_Intensity27,Patch_Intensity28,Patch_Intensity29,Patch_Intensity30,Patch_Intensity31,Patch_Intensity32,Patch_Intensity33,Patch_Intensity34,Patch_Intensity35,Patch_Intensity36,Patch_Intensity37,Patch_Intensity38,Patch_Intensity39,Patch_Intensity40,Patch_Intensity41,Patch_Intensity42,Patch_Intensity43
1,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000001_Left_SimpleSeg.tif,66.679,66.916,70.801,67.072,68.744,69.812,68.267,67.173,72.216,67.517,68.418,70.511,68.112,72.788,73.372,68.605,68.836,69.919,70.423,69.778,69.211,65.464,66.934,68.493,73.488,66.924,63.369,62.883,63.809,66.157,61.138,60.805,64.082,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000001_Right_SimpleSeg.tif,68.503,65.303,66.661,67.708,63.429,77.471,75.436,72.061,65.832,76.251,71.043,72.425,66.000,70.705,73.460,68.375,66.247,65.842,68.056,64.152,65.330,70.049,66.577,67.662,71.858,72.339,69.657,69.285,77.533,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000005_Left_SimpleSeg.tif,76.000,78.054,72.457,71.953,74.574,70.566,71.108,73.796,77.098,76.307,82.264,83.168,84.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000005_Right_SimpleSeg.tif,79.634,74.238,74.548,73.554,71.326,71.981,67.940,69.891,68.442,70.494,66.049,69.082,67.895,69.773,71.624,69.170,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000006_Left_SimpleSeg.tif,74.652,65.680,64.614,64.147,71.503,65.680,67.179,73.488,67.854,69.137,76.769,71.863,71.561,72.250,69.093,74.851,71.761,72.583,78.046,71.202,71.556,75.616,68.723,77.019,75.427,72.965,71.889,71.933,73.430,71.889,79.119,74.590,78.255,74.277,76.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000006_Right_SimpleSeg.tif,53.805,50.980,49.207,47.195,50.618,49.000,56.585,46.435,50.732,45.491,48.672,46.305,57.443,48.674,46.714,47.353,53.373,46.823,47.333,59.422,47.443,60.175,53.084,51.231,51.518,49.531,50.838,54.734,49.937,50.332,50.650,51.119,53.575,51.696,54.162,51.438,53.669,54.419,0.000,0.000,0.000,0.000,0.000,0.000
7,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000013_Left_SimpleSeg.tif,99.276,85.126,92.349,100.285,79.994,82.681,92.931,77.124,86.689,92.177,88.828,94.098,101.424,84.691,91.271,92.263,88.866,93.467,95.779,96.189,101.278,100.923,95.743,96.106,95.252,103.203,96.167,104.581,104.645,72.964,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000013_Right_SimpleSeg.tif,82.129,88.375,88.782,88.521,77.701,87.911,73.520,85.595,92.960,100.453,90.996,104.833,102.526,92.026,101.477,94.776,100.114,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000018_Left_SimpleSeg.tif,50.035,49.238,56.101,49.489,51.124,50.829,50.659,51.633,49.796,50.096,50.948,60.033,54.655,56.915,53.265,59.377,54.006,57.272,61.102,54.315,61.353,52.926,49.154,50.338,66.292,55.129,68.247,62.073,61.200,60.324,57.570,69.341,58.615,59.628,74.155,70.265,70.057,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000018_Right_SimpleSeg.tif,52.460,55.106,52.360,55.613,61.878,52.087,51.991,54.094,52.593,53.885,55.234,57.772,62.155,63.465,66.019,73.045,68.072,71.597,69.416,66.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000039_Left_SimpleSeg.tif,68.282,69.603,69.725,67.934,77.188,67.135,68.741,66.390,77.076,58.780,64.569,74.136,66.074,71.327,69.700,64.981,68.673,61.512,63.316,65.468,62.149,75.355,69.277,67.903,71.871,68.770,66.274,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000039_Right_SimpleSeg.tif,63.555,63.712,65.890,73.529,67.129,68.975,60.030,71.380,60.554,64.011,57.119,60.502,62.953,58.083,69.164,68.812,75.653,70.323,66.089,69.003,68.833,66.392,64.001,69.791,69.073,69.882,69.442,68.783,69.900,69.128,69.578,68.032,69.853,72.704,72.377,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000043_Left_SimpleSeg.tif,62.759,57.004,67.114,80.833,63.611,74.723,63.365,59.587,80.388,57.825,72.292,82.400,53.308,60.271,57.991,85.403,83.579,73.977,72.888,71.565,53.107,76.733,79.157,57.393,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000043_Right_SimpleSeg.tif,73.156,57.095,66.867,62.834,78.991,80.380,55.098,50.137,72.608,52.304,52.971,54.830,59.075,55.971,54.722,70.330,59.023,85.573,72.920,78.778,60.634,56.183,65.954,59.425,83.748,62.047,63.606,90.119,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000044_Left_SimpleSeg.tif,58.857,56.511,59.566,69.643,56.057,57.559,54.149,53.177,68.352,57.222,64.981,57.841,56.485,56.232,58.516,59.773,59.026,53.284,56.457,55.218,57.473,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000044_Right_SimpleSeg.tif,38.818,37.185,45.156,51.246,41.694,54.031,46.146,35.977,43.500,39.607,35.765,40.542,56.169,44.194,38.243,39.650,50.452,57.017,47.144,40.972,39.965,51.415,44.564,55.915,49.375,43.220,45.242,45.645,43.663,45.606,50.533,57.225,41.797,42.418,46.991,44.655,48.520,44.090,53.752,46.291,48.257,59.582,46.851,45.925
17,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000045_Left_SimpleSeg.tif,45.632,44.459,54.400,39.687,60.102,41.250,40.978,51.084,37.935,44.678,48.438,55.402,60.421,46.643,42.902,43.581,46.763,50.878,54.201,51.705,59.054,53.525,53.523,54.328,54.511,57.651,53.184,58.676,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000045_Right_SimpleSeg.tif,56.042,64.373,51.633,58.109,51.893,80.438,64.900,72.371,53.140,51.108,67.095,56.268,49.034,67.456,61.181,76.689,48.721,61.867,66.631,61.657,68.849,87.364,72.232,83.945,79.964,66.632,80.000,72.295,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000046_Left_SimpleSeg.tif,34.831,35.391,39.434,36.013,46.988,37.487,37.962,51.006,43.048,43.126,37.964,36.228,44.942,42.609,40.191,50.860,38.240,40.701,45.748,40.778,44.270,42.413,39.641,39.928,48.122,39.000,41.675,44.417,52.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000046_Right_SimpleSeg.tif,51.472,39.011,33.235,29.373,27.783,53.771,29.669,25.922,25.696,27.818,30.793,26.493,52.116,22.403,45.505,24.237,27.371,57.133,46.437,51.952,31.136,32.211,35.686,41.738,52.073,41.879,41.442,40.038,53.865,43.782,38.513,32.662,35.661,54.463,32.565,43.708,52.223,32.368,39.290,33.609,44.474,0.000,0.000,0.000
21,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000003_Left_SimpleSeg.tif,81.066,76.432,84.035,82.788,84.965,94.092,99.416,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000003_Right_SimpleSeg.tif,86.424,86.678,83.490,88.142,87.508,85.284,85.444,83.391,87.732,76.405,89.222,81.981,83.226,79.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000007_Left_SimpleSeg.tif,104.078,107.741,99.150,108.033,108.595,105.791,108.038,101.968,107.617,108.800,107.237,107.690,108.989,107.788,108.378,108.774,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000007_Right_SimpleSeg.tif,107.567,99.522,106.317,107.689,106.041,104.980,107.323,107.659,107.343,109.879,111.296,108.176,107.881,104.548,115.628,107.217,114.622,108.117,108.017,107.926,112.472,110.107,105.436,106.983,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
25,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000012_Left_SimpleSeg.tif,89.179,99.096,87.287,83.726,95.592,91.505,100.176,102.600,100.931,80.809,94.868,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000012_Right_SimpleSeg.tif,99.569,102.548,104.825,99.870,105.787,97.545,106.319,96.930,111.671,101.307,102.772,109.091,104.811,111.310,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
